id"is_selected"created"updated"camper_id"extra_charge_id
2"t"2018-12-20 11:46:20.072375-06"2018-12-20 11:46:20.072416-06"31204"4
27"t"2019-04-29 10:37:08.483486-05"2019-04-29 10:37:08.483504-05"25852"1
28"t"2019-04-30 17:09:44.039388-05"2019-04-30 17:09:44.039405-05"29953"4
29"t"2019-04-30 17:09:44.046031-05"2019-04-30 17:09:44.046048-05"29953"6
30"t"2019-05-02 10:58:30.427237-05"2019-05-02 10:58:30.427255-05"30876"1
31"t"2019-05-02 10:58:30.433425-05"2019-05-02 10:58:30.43344-05"30876"2
32"t"2019-05-02 10:58:30.439528-05"2019-05-02 10:58:30.439543-05"30876"3
33"t"2019-05-03 13:33:15.041592-05"2019-05-03 13:33:15.041621-05"34126"1
34"t"2019-05-03 13:33:15.055436-05"2019-05-03 13:33:15.055459-05"34126"3
35"t"2019-05-03 13:33:55.128803-05"2019-05-03 13:33:55.12883-05"34125"1
36"t"2019-05-03 13:33:55.137641-05"2019-05-03 13:33:55.137665-05"34125"3
38"t"2019-05-06 15:51:57.87154-05"2019-05-06 15:51:57.871563-05"33358"1
39"t"2019-05-06 15:51:57.879657-05"2019-05-06 15:51:57.879678-05"33358"2
40"t"2019-05-06 15:51:57.88737-05"2019-05-06 15:51:57.88739-05"33358"3
41"t"2019-05-06 20:25:04.413499-05"2019-05-06 20:25:04.413544-05"34158"1
42"t"2019-05-06 20:25:04.429324-05"2019-05-06 20:25:04.429345-05"34158"2
43"t"2019-05-08 13:54:09.940457-05"2019-05-08 13:54:09.940487-05"34203"1
44"t"2019-05-08 13:54:09.951594-05"2019-05-08 13:54:09.951614-05"34203"3
45"t"2019-05-13 17:33:40.662126-05"2019-05-13 17:33:40.662146-05"27614"1
46"t"2019-05-13 17:35:30.269715-05"2019-05-13 17:35:30.269734-05"8358"4
47"t"2019-05-20 08:54:01.399847-05"2019-05-20 08:54:01.399897-05"34329"3
48"t"2019-05-20 22:47:02.005244-05"2019-05-20 22:47:02.005273-05"25834"1
49"t"2019-05-20 22:49:58.484178-05"2019-05-20 22:49:58.484203-05"25833"1
50"t"2019-05-22 13:30:23.967089-05"2019-05-22 13:30:23.967115-05"34348"4
51"t"2019-05-22 13:30:23.979352-05"2019-05-22 13:30:23.979391-05"34348"6
52"t"2019-05-22 21:41:12.434047-05"2019-05-22 21:41:12.434073-05"34356"4
53"t"2019-05-22 21:52:03.265495-05"2019-05-22 21:52:03.265564-05"34357"1
54"t"2019-05-24 17:25:52.76333-05"2019-05-24 17:25:52.763365-05"34374"4
55"t"2019-05-27 20:28:03.88475-05"2019-05-27 20:28:03.884777-05"7933"4
56"t"2019-05-27 20:28:03.896448-05"2019-05-27 20:28:03.896481-05"7933"6
57"t"2019-05-28 15:29:58.688486-05"2019-05-28 15:29:58.688505-05"31608"1
58"t"2019-05-28 15:29:58.705863-05"2019-05-28 15:29:58.70589-05"31608"3
59"t"2019-05-28 15:32:04.317819-05"2019-05-28 15:32:04.317853-05"31607"1
60"t"2019-05-28 19:51:02.518062-05"2019-05-28 19:51:02.518093-05"28224"7
61"t"2019-05-28 19:51:02.529094-05"2019-05-28 19:51:02.529133-05"28224"9
62"t"2019-05-28 19:53:08.484303-05"2019-05-28 19:53:08.484332-05"28224"1
63"t"2019-05-28 19:53:08.49626-05"2019-05-28 19:53:08.496286-05"28224"10
64"t"2019-05-28 19:53:08.507017-05"2019-05-28 19:53:08.507046-05"28224"12
65"t"2019-05-31 09:17:17.392209-05"2019-05-31 09:17:17.392251-05"30250"9
66"t"2019-05-31 09:17:17.405033-05"2019-05-31 09:17:17.405071-05"30250"12
67"t"2019-05-31 23:37:43.078206-05"2019-05-31 23:37:43.078233-05"25377"4
68"t"2019-05-31 23:37:43.08646-05"2019-05-31 23:37:43.086482-05"25377"6
69"t"2019-06-02 21:40:02.397306-05"2019-06-02 21:40:02.397333-05"34454"8
70"t"2019-06-02 21:45:06.429434-05"2019-06-02 21:45:06.429456-05"34455"8
71"t"2019-06-06 10:28:09.030619-05"2019-06-06 10:28:09.030644-05"34467"1
72"t"2019-06-06 10:28:09.03977-05"2019-06-06 10:28:09.039795-05"34467"3
73"t"2019-06-07 17:52:19.766143-05"2019-06-07 17:52:19.766178-05"34472"9
76"t"2019-06-10 13:06:05.326145-05"2019-06-10 13:06:05.326171-05"34477"10
77"t"2019-06-10 13:06:05.335316-05"2019-06-10 13:06:05.335341-05"34477"12
78"t"2019-06-11 13:28:38.170387-05"2019-06-11 13:28:38.170412-05"34484"1
79"t"2019-06-11 13:28:38.180025-05"2019-06-11 13:28:38.18005-05"34484"3
80"t"2019-06-12 08:27:01.045874-05"2019-06-12 08:27:01.0459-05"7632"6
81"t"2019-06-12 12:20:31.736694-05"2019-06-12 12:20:31.736721-05"34485"1
82"t"2019-06-12 12:20:31.746475-05"2019-06-12 12:20:31.7465-05"34485"3
83"t"2019-06-12 13:09:15.354237-05"2019-06-12 13:09:15.354264-05"29325"5
84"t"2019-06-12 13:09:15.363792-05"2019-06-12 13:09:15.363818-05"29325"6
85"t"2019-06-12 16:22:10.681001-05"2019-06-12 16:22:10.681028-05"34495"2
86"t"2019-06-12 16:59:18.159029-05"2019-06-12 16:59:18.159053-05"30704"5
87"t"2019-06-13 14:05:20.243093-05"2019-06-13 14:05:20.243118-05"34499"1
88"t"2019-06-13 14:05:20.252719-05"2019-06-13 14:05:20.252744-05"34499"3
91"t"2019-06-14 19:03:47.101083-05"2019-06-14 19:03:47.101109-05"27566"1
92"t"2019-06-14 19:03:47.110312-05"2019-06-14 19:03:47.110338-05"27566"3
93"t"2019-06-18 13:08:32.395844-05"2019-06-18 13:08:32.395887-05"34513"1
94"t"2019-06-18 18:38:38.799791-05"2019-06-18 18:38:38.799817-05"34517"4
95"t"2019-06-18 18:38:38.808871-05"2019-06-18 18:38:38.808902-05"34517"6
96"t"2019-06-18 20:04:41.934702-05"2019-06-18 20:04:41.934728-05"34518"12
97"t"2019-06-19 14:17:12.030743-05"2019-06-19 14:17:12.030814-05"34529"1
98"t"2019-06-19 14:17:12.048143-05"2019-06-19 14:17:12.048179-05"34529"2
99"t"2019-06-19 14:17:12.05865-05"2019-06-19 14:17:12.058678-05"34529"3
100"t"2019-06-19 14:36:18.306426-05"2019-06-19 14:36:18.306452-05"34530"4
101"t"2019-06-19 20:19:48.026347-05"2019-06-19 20:19:48.026375-05"31143"4
102"t"2019-06-19 20:19:48.035905-05"2019-06-19 20:19:48.03593-05"31143"5
103"t"2019-06-19 20:21:58.303426-05"2019-06-19 20:21:58.303452-05"31142"4
104"t"2019-06-19 20:21:58.312602-05"2019-06-19 20:21:58.312634-05"31142"5
105"t"2019-06-20 00:20:12.831065-05"2019-06-20 00:20:12.831093-05"30229"6
106"t"2019-06-21 13:52:39.666588-05"2019-06-21 13:52:39.666628-05"28179"1
107"t"2019-06-21 13:53:48.488112-05"2019-06-21 13:53:48.488175-05"28184"1
108"t"2019-06-21 13:54:34.861105-05"2019-06-21 13:54:34.861132-05"28188"1
109"t"2019-06-24 11:30:25.204232-05"2019-06-24 11:30:25.204258-05"34545"7
110"t"2019-06-24 11:30:25.216202-05"2019-06-24 11:30:25.216231-05"34545"9
111"t"2019-06-24 18:48:40.585113-05"2019-06-24 18:48:40.58514-05"32804"3
112"t"2019-06-25 23:42:31.48197-05"2019-06-25 23:42:31.482018-05"30530"1
113"t"2019-06-26 16:02:55.341913-05"2019-06-26 16:02:55.341949-05"34555"4
114"t"2019-06-26 16:02:55.352465-05"2019-06-26 16:02:55.352489-05"34555"6
117"t"2019-06-28 11:27:19.983637-05"2019-06-28 11:27:19.983654-05"34565"1
118"t"2019-06-28 11:27:19.989606-05"2019-06-28 11:27:19.989621-05"34565"3
119"t"2019-06-30 12:32:12.303992-05"2019-06-30 12:32:12.304027-05"29496"1
120"t"2019-06-30 12:32:12.31132-05"2019-06-30 12:32:12.311336-05"29496"3
121"t"2019-06-30 17:41:29.415733-05"2019-06-30 17:41:29.415763-05"25983"1
122"t"2019-06-30 17:44:28.275192-05"2019-06-30 17:44:28.275217-05"25982"1
123"t"2019-06-30 17:46:03.77316-05"2019-06-30 17:46:03.773181-05"25981"7
124"t"2019-06-30 21:45:33.97171-05"2019-06-30 21:45:33.97173-05"26610"4
125"t"2019-06-30 21:45:33.979561-05"2019-06-30 21:45:33.979588-05"26610"6
126"t"2019-06-30 23:30:26.120101-05"2019-06-30 23:30:26.120126-05"24331"4
127"t"2019-06-30 23:30:26.128512-05"2019-06-30 23:30:26.128536-05"24331"6
128"t"2019-06-30 23:34:46.859926-05"2019-06-30 23:34:46.859945-05"30939"1
129"t"2019-06-30 23:34:46.866441-05"2019-06-30 23:34:46.866457-05"30939"3
130"t"2019-07-01 11:40:01.627543-05"2019-07-01 11:40:01.627579-05"34569"1
131"t"2019-07-01 13:21:43.783832-05"2019-07-01 13:21:43.783853-05"28242"4
132"t"2019-07-01 18:57:24.497477-05"2019-07-01 18:57:24.497504-05"26012"1
135"t"2019-07-02 10:40:55.853291-05"2019-07-02 10:40:55.853311-05"34573"5
136"t"2019-07-02 10:40:55.860057-05"2019-07-02 10:40:55.860079-05"34573"6
137"t"2019-07-03 11:22:15.694087-05"2019-07-03 11:22:15.694104-05"28716"7
138"t"2019-07-03 11:22:15.700581-05"2019-07-03 11:22:15.700608-05"28716"8
139"t"2019-07-03 11:22:15.707697-05"2019-07-03 11:22:15.707714-05"28716"9
140"t"2019-07-03 11:30:18.902829-05"2019-07-03 11:30:18.902848-05"28717"7
141"t"2019-07-03 11:30:18.909493-05"2019-07-03 11:30:18.909509-05"28717"8
142"t"2019-07-03 11:30:18.915464-05"2019-07-03 11:30:18.915479-05"28717"9
143"t"2019-07-07 05:50:01.364698-05"2019-07-07 05:50:01.364718-05"34567"1
144"t"2019-07-08 08:47:07.058914-05"2019-07-08 08:47:07.05894-05"34583"12
145"t"2019-07-08 15:53:44.785053-05"2019-07-08 15:53:44.785071-05"34588"12
146"f"2019-07-16 10:22:23.193067-05"2019-07-16 10:24:02.676989-05"34598"9
261"t"2022-04-27 12:57:55.535217-05"2022-04-27 12:57:55.535235-05"39115"38
262"t"2022-04-27 18:34:29.019139-05"2022-04-27 18:34:29.01916-05"39134"37
263"t"2022-04-27 18:34:29.027578-05"2022-04-27 18:34:29.027619-05"39134"38
152"t"2019-07-23 13:33:37.655846-05"2019-07-23 13:33:37.655868-05"34603"11
153"t"2019-07-25 22:40:54.330116-05"2019-07-25 22:40:54.330134-05"34472"10
193"t"2021-01-22 21:14:28.735574-06"2021-01-22 21:14:28.73561-06"37175"28
194"t"2021-02-02 12:14:28.119813-06"2021-02-02 12:14:28.11985-06"37170"28
195"t"2021-02-02 12:35:07.758749-06"2021-02-02 12:35:07.758771-06"37190"28
196"t"2021-02-03 16:16:02.74773-06"2021-02-03 16:16:02.747757-06"37148"28
197"t"2021-02-04 12:38:37.570808-06"2021-02-04 12:38:37.570847-06"37192"28
198"t"2021-02-04 21:43:10.790002-06"2021-02-04 21:43:10.790028-06"37080"28
199"t"2021-02-09 03:09:31.332962-06"2021-02-09 03:09:31.33299-06"37090"28
201"t"2021-02-12 20:12:54.974258-06"2021-02-12 20:12:54.97428-06"37076"28
202"t"2021-02-15 10:35:35.060266-06"2021-02-15 10:35:35.060288-06"37196"28
203"t"2021-02-15 15:11:37.515351-06"2021-02-15 15:11:37.515384-06"37197"28
204"t"2021-02-15 15:19:58.700447-06"2021-02-15 15:19:58.700473-06"37198"28
205"f"2021-03-01 17:23:03.584791-06"2021-03-01 17:27:44.045961-06"37200"29
206"t"2021-03-06 11:34:16.49562-06"2021-03-06 11:34:16.495663-06"37212"29
207"t"2021-03-06 11:42:41.553927-06"2021-03-06 11:42:41.553948-06"32063"29
209"t"2021-03-21 21:11:34.205409-06"2021-03-21 21:11:34.205433-06"37245"29
211"t"2021-03-23 18:10:10.60303-06"2021-03-23 18:10:10.603059-06"37258"31
208"f"2021-03-08 11:14:40.938092-06"2021-04-01 10:43:41.150256-06"37213"29
213"t"2021-04-01 17:19:14.383369-06"2021-04-01 17:19:14.383398-06"37314"31
216"t"2021-04-07 16:13:25.798319-05"2021-04-07 16:13:25.798346-05"37326"31
217"t"2021-04-14 09:27:31.494876-05"2021-04-14 09:27:31.494896-05"28389"31
218"t"2021-04-14 15:38:54.019411-05"2021-04-14 15:38:54.019434-05"37347"31
219"t"2021-04-14 16:04:05.039283-05"2021-04-14 16:04:05.039312-05"37346"31
220"t"2021-04-14 22:29:55.822172-05"2021-04-14 22:29:55.822193-05"37277"31
221"t"2021-04-16 12:16:35.391304-05"2021-04-16 12:16:35.391325-05"37356"31
222"t"2021-05-30 10:10:27.844049-05"2021-05-30 10:10:27.844083-05"37549"31
223"t"2021-05-30 10:29:20.619717-05"2021-05-30 10:29:20.619744-05"37550"31
226"t"2021-06-02 16:52:10.520364-05"2021-06-02 16:52:10.520387-05"37563"31
227"t"2021-06-05 19:42:17.069648-05"2021-06-05 19:42:17.069673-05"36196"31
229"t"2021-06-10 11:23:17.828437-05"2021-06-10 11:23:17.828462-05"35224"31
230"t"2021-06-16 08:39:44.204184-05"2021-06-16 08:39:44.204219-05"37681"31
231"t"2021-06-18 20:34:37.15894-05"2021-06-18 20:34:37.158968-05"37703"31
232"t"2021-06-22 10:06:08.538263-05"2021-06-22 10:06:08.538302-05"37710"31
224"f"2021-05-30 21:53:46.192512-05"2021-07-06 22:39:57.685654-05"37515"31
237"t"2021-07-12 18:41:10.458204-05"2021-07-12 18:41:10.45826-05"37740"31
238"t"2021-07-14 14:12:01.759767-05"2021-07-14 14:12:01.759792-05"37741"31
239"t"2021-07-15 20:08:25.090479-05"2021-07-15 20:08:25.090514-05"37742"31
240"t"2021-07-15 20:17:26.495739-05"2021-07-15 20:17:26.49576-05"37743"31
228"f"2021-06-06 19:00:37.246243-05"2021-07-16 09:40:06.794066-05"37596"31
241"t"2021-07-20 12:32:24.597089-05"2021-07-20 12:32:24.597115-05"37746"31
242"t"2021-07-20 12:50:41.497079-05"2021-07-20 12:50:41.497107-05"37747"31
233"f"2021-06-25 12:12:07.315331-05"2021-07-20 13:01:24.935368-05"37721"31
243"t"2021-09-28 12:19:32.305188-05"2021-09-28 12:19:32.305208-05"37113"32
244"t"2021-10-14 15:13:30.754942-05"2021-10-14 15:13:30.754967-05"37170"32
245"t"2021-10-14 15:17:15.31316-05"2021-10-14 15:17:15.313181-05"37190"32
246"t"2021-10-18 15:35:20.923182-05"2021-10-18 15:35:20.923202-05"37806"32
247"t"2021-10-18 15:39:30.203674-05"2021-10-18 15:39:30.203695-05"37807"32
248"t"2021-10-18 18:17:53.333655-05"2021-10-18 18:17:53.333683-05"37805"32
249"t"2021-10-18 18:18:51.73827-05"2021-10-18 18:18:51.738289-05"37080"32
250"t"2021-10-19 13:56:17.387316-05"2021-10-19 13:56:17.387335-05"37090"32
264"t"2022-05-02 10:48:40.532459-05"2022-05-02 10:48:40.532481-05"39218"37
251"t"2021-10-20 09:09:44.635265-05"2021-10-20 09:16:02.61647-05"37810"32
252"t"2021-10-21 09:29:47.159338-05"2021-10-21 09:29:47.159358-05"37811"32
253"t"2021-10-21 14:56:06.791648-05"2021-10-21 14:56:06.791667-05"37812"32
254"t"2021-10-23 11:26:44.258571-05"2021-10-23 11:26:44.258589-05"37076"32
256"t"2022-04-27 11:53:59.946843-05"2022-04-27 11:53:59.946862-05"39107"37
257"t"2022-04-27 11:53:59.957075-05"2022-04-27 11:53:59.957094-05"39107"38
258"t"2022-04-27 12:00:40.347417-05"2022-04-27 12:00:40.347436-05"39108"37
259"t"2022-04-27 12:00:40.355416-05"2022-04-27 12:00:40.355434-05"39108"38
260"t"2022-04-27 12:57:55.527552-05"2022-04-27 12:57:55.527573-05"39115"37
265"t"2022-05-02 10:48:40.541649-05"2022-05-02 10:48:40.541669-05"39218"38
270"t"2022-05-03 14:45:03.42319-05"2022-05-03 14:45:03.423213-05"39277"37
271"t"2022-05-03 14:45:03.431517-05"2022-05-03 14:45:03.431538-05"39277"38
272"t"2022-05-03 22:23:35.54135-05"2022-05-03 22:23:35.541371-05"39289"37
273"t"2022-05-03 22:23:35.549544-05"2022-05-03 22:23:35.549562-05"39289"38
276"t"2022-05-06 08:57:18.248205-05"2022-05-06 08:57:18.248232-05"39348"37
277"t"2022-05-06 08:57:18.283299-05"2022-05-06 08:57:18.283319-05"39348"38
280"t"2022-05-07 19:40:01.37655-05"2022-05-07 19:40:01.376574-05"39373"37
281"t"2022-05-07 19:40:01.384957-05"2022-05-07 19:40:01.384979-05"39373"38
282"t"2022-05-09 17:14:22.425962-05"2022-05-09 17:14:22.42599-05"38770"33
283"t"2022-05-10 00:11:37.872741-05"2022-05-10 00:11:37.872763-05"39428"37
284"t"2022-05-10 00:11:37.881116-05"2022-05-10 00:11:37.881135-05"39428"38
285"t"2022-05-12 14:11:53.465615-05"2022-05-12 14:11:53.465635-05"39468"37
286"t"2022-05-12 14:11:53.473591-05"2022-05-12 14:11:53.47361-05"39468"38
287"t"2022-05-12 20:31:07.933021-05"2022-05-12 20:31:07.933043-05"39478"37
288"t"2022-05-12 20:31:07.940809-05"2022-05-12 20:31:07.940828-05"39478"38
289"t"2022-05-15 13:44:58.518125-05"2022-05-15 13:44:58.518159-05"39160"37
290"t"2022-05-15 13:44:58.527122-05"2022-05-15 13:44:58.527141-05"39160"38
291"t"2022-05-16 19:04:27.051873-05"2022-05-16 19:04:27.051896-05"39551"37
292"t"2022-05-16 19:04:27.059974-05"2022-05-16 19:04:27.060003-05"39551"38
293"t"2022-05-17 11:03:02.848696-05"2022-05-17 11:03:02.848717-05"39564"37
294"t"2022-05-17 11:03:02.857223-05"2022-05-17 11:03:02.857243-05"39564"38
297"t"2022-05-20 09:44:31.070136-05"2022-05-20 09:44:31.070157-05"39613"37
298"t"2022-05-20 09:44:31.078163-05"2022-05-20 09:44:31.078183-05"39613"38
299"t"2022-05-20 19:16:46.360917-05"2022-05-20 19:16:46.360939-05"39619"37
300"t"2022-05-20 19:16:46.369166-05"2022-05-20 19:16:46.369209-05"39619"38
315"t"2022-07-11 21:48:57.461257-05"2022-07-11 21:48:57.461278-05"39868"33
274"t"2022-05-04 06:59:26.274368-05"2022-06-01 00:54:07.021282-05"39089"37
275"t"2022-05-04 06:59:26.282142-05"2022-06-01 00:54:07.02589-05"39089"38
266"f"2022-05-02 22:41:28.941268-05"2022-06-03 11:31:59.922055-05"39260"37
267"f"2022-05-02 22:41:28.949294-05"2022-06-03 11:31:59.931955-05"39260"38
302"t"2022-06-18 16:20:09.317342-05"2022-06-18 16:20:09.317363-05"39744"33
303"t"2022-06-22 12:31:14.296669-05"2022-06-22 12:31:14.296707-05"39818"33
304"t"2022-06-24 08:56:13.693132-05"2022-06-24 08:56:13.693155-05"39825"33
305"t"2022-06-27 11:31:17.605612-05"2022-06-27 11:31:17.605631-05"39830"33
306"t"2022-06-27 12:34:27.325093-05"2022-06-27 12:34:27.325114-05"39824"33
307"t"2022-06-28 19:30:07.213581-05"2022-06-28 19:30:07.213604-05"39833"33
308"t"2022-06-28 20:38:34.395841-05"2022-06-28 20:38:34.395869-05"39834"33
309"t"2022-07-05 10:51:00.231823-05"2022-07-05 10:51:00.231844-05"39837"33
310"t"2022-07-05 11:25:33.054526-05"2022-07-05 11:25:33.054547-05"39854"33
311"t"2022-07-05 12:28:31.868986-05"2022-07-05 12:28:31.869017-05"39856"33
312"t"2022-07-05 12:41:20.312943-05"2022-07-05 12:41:20.312965-05"39857"33
313"t"2022-07-05 17:22:38.362151-05"2022-07-05 17:22:38.362173-05"39860"33
316"t"2022-07-11 22:06:12.204889-05"2022-07-11 22:06:12.204912-05"39869"33
317"t"2022-07-11 22:30:13.078237-05"2022-07-11 22:30:13.078259-05"39870"33
320"t"2023-01-10 22:04:26.692781-06"2023-01-10 22:04:26.692813-06"41686"40
321"f"2023-01-11 04:57:52.809706-06"2023-01-11 04:59:23.104241-06"37133"40
322"t"2023-01-11 04:59:23.119332-06"2023-01-11 04:59:23.119358-06"37133"41
323"t"2023-01-11 05:01:08.643611-06"2023-01-11 05:01:08.643642-06"40429"40
324"t"2023-01-11 05:03:10.256824-06"2023-01-11 05:03:10.256855-06"37185"40
325"t"2023-01-11 05:03:43.642157-06"2023-01-11 05:03:43.642188-06"37179"40
326"t"2023-01-16 13:42:55.226605-06"2023-01-16 13:42:55.226633-06"41685"40
327"t"2023-01-16 14:42:22.491599-06"2023-01-16 14:42:22.491629-06"41609"41
329"t"2023-01-17 22:42:59.423445-06"2023-01-17 22:42:59.423472-06"41739"41
330"t"2023-01-19 15:09:17.566556-06"2023-01-19 15:09:17.566583-06"41763"41
331"t"2023-01-19 21:50:58.077053-06"2023-01-19 21:50:58.077101-06"41768"41
332"t"2023-01-21 19:23:47.873984-06"2023-01-21 19:23:47.874017-06"41782"40
333"t"2023-01-27 15:23:53.701934-06"2023-01-27 15:23:53.701965-06"41850"40
334"t"2023-03-06 13:51:28.727502-06"2023-03-06 13:51:28.727529-06"42728"40
335"t"2023-03-07 08:11:05.988312-06"2023-03-07 08:11:05.988339-06"42737"40
336"t"2023-03-07 10:39:21.499288-06"2023-03-07 10:39:21.499329-06"42744"40
337"t"2023-03-08 08:41:14.998168-06"2023-03-08 08:41:14.998196-06"41602"40
338"t"2023-03-08 19:10:49.51077-06"2023-03-08 19:10:49.510801-06"42755"40
339"t"2023-03-10 15:36:18.407593-06"2023-03-10 15:36:18.407623-06"42764"40
340"t"2023-03-14 18:31:33.825502-06"2023-03-14 18:31:33.825529-06"42775"40
341"t"2023-03-14 22:21:58.54233-06"2023-03-14 22:21:58.542357-06"42779"40
342"t"2023-03-15 07:55:54.927107-06"2023-03-15 07:55:54.927143-06"42781"40
343"t"2023-03-15 09:59:29.10725-06"2023-03-15 09:59:29.10728-06"42784"40
344"t"2023-03-15 10:18:46.247418-06"2023-03-15 10:18:46.247446-06"42786"41
345"t"2023-03-15 10:38:35.519513-06"2023-03-15 10:38:35.519543-06"42787"40
346"t"2023-03-17 18:53:25.7864-06"2023-03-17 18:53:25.786428-06"42812"40
347"t"2023-03-18 22:25:55.629807-06"2023-03-18 22:25:55.629836-06"42816"40
348"t"2023-03-21 22:46:41.911659-06"2023-03-21 22:46:41.91169-06"42834"40
349"t"2023-04-25 12:27:07.081479-06"2023-04-25 12:27:07.081506-06"43221"40
350"t"2023-04-26 10:08:11.039661-06"2023-04-26 10:08:11.039685-06"43235"40
351"t"2023-04-27 09:21:58.898256-06"2023-04-27 09:21:58.898286-06"43259"40
352"t"2023-05-17 12:57:39.194626-06"2023-05-17 12:57:39.194652-06"43575"44
354"t"2023-05-27 20:50:15.779157-06"2023-05-27 20:50:15.779195-06"34495"43
355"t"2023-06-01 13:14:08.415395-06"2023-06-01 13:14:08.415438-06"40616"42
358"t"2023-06-30 21:00:37.609847-06"2023-06-30 21:00:37.609873-06"40726"44
359"t"2023-06-30 21:01:21.873834-06"2023-06-30 21:01:21.873861-06"40727"44
360"t"2023-07-02 11:08:20.20628-06"2023-07-02 11:08:20.206306-06"43848"43
361"t"2023-07-03 12:42:21.480094-06"2023-07-03 12:42:21.480122-06"40480"43
362"t"2023-07-03 13:59:04.379752-06"2023-07-03 13:59:04.379785-06"30876"43
363"t"2023-07-03 15:35:16.221685-06"2023-07-03 15:35:16.221716-06"42528"43
364"t"2023-07-12 10:55:37.325811-06"2023-07-12 11:27:15.380145-06"43868"43
