id"store_payment_date"store_payment_amount"created"updated"camp_id"camper_id"parent_id"store_type_movement_id
1"2018-03-07 19:55:19.948944-06"250"2018-03-07 19:55:19.948998-06"2018-03-07 19:55:19.949018-06"20354"28012"26797"1
18"2018-03-07 20:54:45.737626-06"250"2018-03-07 20:54:45.737691-06"2018-03-07 20:54:45.737733-06"20354"29739"28050"1
19"2018-03-07 20:56:34.856865-06"350"2018-03-07 20:56:34.856918-06"2018-03-07 20:56:34.856937-06"20354"29494"27373"1
20"2018-03-07 20:57:44.995815-06"250"2018-03-07 20:57:44.995896-06"2018-03-07 20:57:44.995919-06"20354"27964"26754"1
21"2018-03-07 22:21:24.859225-06"250"2018-03-07 22:21:24.85928-06"2018-03-07 22:21:24.859299-06"20354"27945"26739"1
22"2018-03-07 22:22:38.910178-06"250"2018-03-07 22:22:38.910235-06"2018-03-07 22:22:38.910255-06"20354"27836"26648"1
23"2018-03-07 22:23:23.399896-06"300"2018-03-07 22:23:23.399952-06"2018-03-07 22:23:23.399978-06"20354"27829"26641"1
24"2018-03-07 22:24:20.088174-06"350"2018-03-07 22:24:20.088287-06"2018-03-07 22:24:20.088329-06"20354"27956"26631"1
25"2018-03-07 23:11:51.796654-06"200"2018-03-07 23:11:51.796711-06"2018-03-07 23:11:51.796731-06"20354"27820"26633"1
26"2018-03-08 12:12:23.967897-06"200"2018-03-08 12:12:23.967986-06"2018-03-08 12:12:23.968019-06"20354"27983"26770"1
27"2018-03-08 12:13:50.485717-06"200"2018-03-08 12:13:50.48583-06"2018-03-08 12:13:50.485871-06"20354"27834"26646"1
28"2018-03-08 12:14:48.22247-06"200"2018-03-08 12:14:48.222532-06"2018-03-08 12:14:48.222553-06"20354"27973"26763"1
29"2018-03-08 12:15:34.593172-06"500"2018-03-08 12:15:34.593227-06"2018-03-08 12:15:34.593247-06"20354"30086"28277"1
30"2018-03-08 12:17:49.168554-06"300"2018-03-08 12:17:49.168608-06"2018-03-08 12:17:49.168628-06"20354"27960"26751"1
31"2018-03-08 15:07:42.996272-06"250"2018-03-08 15:07:42.996336-06"2018-03-08 15:07:42.996356-06"20354"27949"26743"1
32"2018-03-15 10:27:09.544967-06"500"2018-03-15 10:27:09.545021-06"2018-03-15 10:27:09.545041-06"20413"10395"8840"1
33"2018-03-15 12:46:57.817098-06"400"2018-03-15 12:46:57.817211-06"2018-03-15 12:46:57.817254-06"20413"26619"25627"1
34"2018-03-15 12:47:38.045004-06"300"2018-03-15 12:47:38.045113-06"2018-03-15 12:47:38.045156-06"20413"29848"28091"1
35"2018-03-15 19:46:10.841308-06"380"2018-03-15 19:46:10.841424-06"2018-03-15 19:46:10.841467-06"20371"29228"22301"1
43"2018-05-03 16:11:16.535765-05"50"2018-05-03 16:11:16.535831-05"2018-05-03 16:11:16.535862-05"20328"28324"27048"1
44"2018-05-03 16:11:28.173077-05"100"2018-05-03 16:11:28.173157-05"2018-05-03 16:11:28.173179-05"20328"28369"27086"1
45"2018-05-03 16:11:55.175788-05"-50"2018-05-03 16:11:55.175839-05"2018-05-03 16:11:55.175858-05"20328"28420"27133"2
46"2018-05-03 16:14:48.829664-05"100"2018-05-03 16:14:48.829757-05"2018-05-03 16:14:48.829788-05"20328"28420"27133"1
47"2018-05-03 16:15:33.476045-05"-200"2018-05-03 16:15:33.476095-05"2018-05-03 16:15:33.476114-05"20328"28420"27133"3
37"2018-04-13 13:15:56.769-05"745"2018-04-13 13:15:56.769-05"2018-04-13 13:15:56.769-05"20375"29277"27671"1
38"2018-04-13 13:16:27.168-05"-345"2018-04-13 13:16:27.168-05"2018-04-13 13:16:27.168-05"20375"29277"27671"2
48"2018-05-04 13:23:36.567-05"255"2018-05-04 13:23:36.567-05"2018-05-04 13:23:36.567-05"20375"29277"27671"1
49"2018-06-07 19:21:49.661-05"300"2018-06-07 19:21:49.662-05"2018-06-07 19:21:49.662-05"20414"31090"26537"1
50"2018-06-07 19:22:43.296-05"-250"2018-06-07 19:22:43.297-05"2018-06-07 19:22:43.297-05"20414"31090"26537"2
51"2018-06-07 19:23:41.263-05"-50"2018-06-07 19:23:41.263-05"2018-06-07 19:23:41.263-05"20414"31090"26537"3
52"2018-06-08 07:46:47.47-05"300"2018-06-08 07:46:47.47-05"2018-06-08 07:46:47.47-05"20414"10674"11296"1
53"2018-06-08 07:50:14.608-05"250"2018-06-08 07:50:14.608-05"2018-06-08 07:50:14.608-05"20414"30020"28232"1
54"2018-06-08 07:53:10.831-05"200"2018-06-08 07:53:10.831-05"2018-06-08 07:53:10.831-05"20414"25127"24362"1
55"2018-06-08 08:07:31.513-05"200"2018-06-08 08:07:31.513-05"2018-06-08 08:07:31.513-05"20414"27100"26010"1
56"2018-06-08 08:15:38.652-05"250"2018-06-08 08:15:38.652-05"2018-06-08 08:15:38.652-05"20414"30031"29010"1
57"2018-06-08 08:18:09.654-05"250"2018-06-08 08:18:09.654-05"2018-06-08 08:18:09.654-05"20414"30030"29010"1
36"2018-04-12 18:00:57.597-05"500"2018-04-12 18:00:57.597-05"2018-04-12 18:00:57.597-05"20377"29575"27917"1
39"2018-04-23 15:24:08.993-05"200"2018-04-23 15:24:08.993-05"2018-04-23 15:24:08.993-05"20377"29374"27753"1
40"2018-06-05 15:49:59.712-05"200"2018-06-05 15:49:59.712-05"2018-06-05 15:49:59.712-05"20393"21047"20958"1
41"2018-06-05 15:50:49.134-05"75"2018-06-05 15:50:49.134-05"2018-06-05 15:50:49.134-05"20393"21047"20958"1
42"2018-06-05 15:51:52.92-05"-275"2018-06-05 15:51:52.92-05"2018-06-05 15:51:52.92-05"20393"21047"20958"2
58"2018-07-11 16:10:51.630761-05"500"2018-07-11 16:10:51.630822-05"2018-07-11 16:10:51.630854-05"20344"31272"29195"1
59"2018-09-17 19:10:16.73984-05"400"2018-09-17 19:10:16.739888-05"2018-09-17 19:10:16.739905-05"20441"31706"29544"1
60"2018-09-21 12:38:18.811978-05"100"2018-09-21 12:38:18.812028-05"2018-09-21 12:38:18.812045-05"20441"31549"29426"1
61"2018-10-06 13:21:26.321051-05"660"2018-10-06 13:21:26.32111-05"2018-10-06 13:21:26.321138-05"20451"32187"29853"1
62"2018-10-06 13:21:42.648822-05"660"2018-10-06 13:21:42.648925-05"2018-10-06 13:21:42.648961-05"20451"32186"29853"1
63"2018-11-27 12:41:28.488661-06"200"2018-11-27 12:41:28.488745-06"2018-11-27 12:41:28.488773-06"20448"25656"24686"1
64"2018-11-27 12:41:53.986658-06"-50"2018-11-27 12:41:53.986734-06"2018-11-27 12:41:53.986761-06"20448"25656"24686"2
65"2020-07-21 20:16:09.209581-05"1050"2020-07-21 20:16:09.209633-05"2020-07-21 20:16:09.210079-05"20609"30235"20320"1
66"2020-07-21 20:17:22.708233-05"1050"2020-07-21 20:17:22.708269-05"2020-07-21 20:17:22.708277-05"20609"27566"26401"1
67"2020-07-21 20:19:04.255296-05"600"2020-07-21 20:19:04.255332-05"2020-07-21 20:19:04.25534-05"20610"36998"33699"1
68"2020-07-22 19:52:44.607892-05"250"2020-07-22 19:52:44.607947-05"2020-07-22 19:52:44.607962-05"20610"37055"33728"1
69"2020-07-22 19:53:12.454164-05"250"2020-07-22 19:53:12.454201-05"2020-07-22 19:53:12.454222-05"20610"37064"33728"1
70"2020-07-24 15:07:58.680226-05"200"2020-07-24 15:07:58.680279-05"2020-07-24 15:07:58.680293-05"20610"37075"33735"1
71"2020-07-25 15:01:35.933241-05"600"2020-07-25 15:01:35.933279-05"2020-07-25 15:01:35.933288-05"20610"34470"31707"1
72"2020-07-25 15:13:22.457811-05"200"2020-07-25 15:13:22.457868-05"2020-07-25 15:13:22.457882-05"20609"37070"23488"1
73"2020-07-25 15:14:03.801018-05"200"2020-07-25 15:14:03.801055-05"2020-07-25 15:14:03.801065-05"20609"34590"23488"1
74"2020-07-25 15:14:21.722251-05"200"2020-07-25 15:14:21.722303-05"2020-07-25 15:14:21.722324-05"20609"34589"23488"1
75"2020-07-25 15:17:27.667952-05"200"2020-07-25 15:17:27.667989-05"2020-07-25 15:17:27.667998-05"20610"34591"23488"1
76"2020-07-25 16:01:02.872731-05"300"2020-07-25 16:01:02.872784-05"2020-07-25 16:01:02.872799-05"20610"24331"23768"1
77"2020-07-25 16:07:21.987319-05"300"2020-07-25 16:07:21.987354-05"2020-07-25 16:07:21.987363-05"20609"30939"23768"1
78"2020-07-26 20:24:23.039936-05"400"2020-07-26 20:24:23.039973-05"2020-07-26 20:24:23.039981-05"20609"36198"33110"1
79"2020-07-26 20:26:35.078911-05"500"2020-07-26 20:26:35.078948-05"2020-07-26 20:26:35.078957-05"20609"31283"29208"1
80"2020-07-26 20:33:31.068793-05"1000"2020-07-26 20:33:31.068845-05"2020-07-26 20:33:31.068861-05"20609"37069"28981"1
81"2020-07-26 20:37:34.793528-05"500"2020-07-26 20:37:34.793564-05"2020-07-26 20:37:34.793572-05"20609"35470"32549"1
82"2020-07-26 20:37:51.040086-05"500"2020-07-26 20:37:51.04012-05"2020-07-26 20:37:51.040128-05"20609"35469"32549"1
83"2020-07-26 20:45:46.434185-05"800"2020-07-26 20:45:46.434221-05"2020-07-26 20:45:46.43423-05"20609"30806"28870"1
84"2020-07-26 20:49:57.846756-05"800"2020-07-26 20:49:57.84679-05"2020-07-26 20:49:57.846798-05"20610"23369"23029"1
85"2020-07-26 20:55:51.476996-05"700"2020-07-26 20:55:51.477032-05"2020-07-26 20:55:51.47704-05"20610"27665"25135"1
86"2020-07-26 21:01:02.765925-05"300"2020-07-26 21:01:02.765983-05"2020-07-26 21:01:02.765997-05"20610"37046"33722"1
87"2020-07-26 21:05:42.465149-05"500"2020-07-26 21:05:42.465184-05"2020-07-26 21:05:42.465193-05"20610"37066"33731"1
88"2020-07-26 21:06:56.385761-05"500"2020-07-26 21:06:56.385797-05"2020-07-26 21:06:56.385804-05"20609"37068"33731"1
89"2020-07-26 21:07:11.267047-05"500"2020-07-26 21:07:11.267085-05"2020-07-26 21:07:11.267093-05"20609"37067"33731"1
90"2020-07-26 21:23:22.561395-05"400"2020-07-26 21:23:22.561433-05"2020-07-26 21:23:22.561441-05"20609"34329"31594"1
91"2020-07-26 21:26:52.114158-05"800"2020-07-26 21:26:52.114203-05"2020-07-26 21:26:52.114212-05"20610"37074"33734"1
92"2020-07-29 15:29:52.346584-05"-130"2020-07-29 15:29:52.34662-05"2020-07-29 15:29:52.346628-05"20610"36998"33699"2
93"2020-07-29 15:30:51.562899-05"500"2020-07-29 15:30:51.562936-05"2020-07-29 15:30:51.562944-05"20610"26610"25623"1
94"2020-07-29 15:31:12.783178-05"-205"2020-07-29 15:31:12.783231-05"2020-07-29 15:31:12.783246-05"20610"26610"25623"2
95"2020-07-29 15:33:37.333882-05"-130"2020-07-29 15:33:37.33392-05"2020-07-29 15:33:37.33393-05"20610"37075"33735"2
96"2020-07-30 15:25:34.071828-05"-120"2020-07-30 15:25:34.071882-05"2020-07-30 15:25:34.071895-05"20609"35470"32549"2
97"2020-07-30 16:03:44.913309-05"500"2020-07-30 16:03:44.913386-05"2020-07-30 16:03:44.9134-05"20610"27579"26414"1
98"2020-07-30 16:10:04.379542-05"300"2020-07-30 16:10:04.379597-05"2020-07-30 16:10:04.37961-05"20609"28185"26958"1
99"2020-07-30 16:10:17.082563-05"300"2020-07-30 16:10:17.0826-05"2020-07-30 16:10:17.082608-05"20609"28186"26958"1
100"2020-07-31 15:41:19.31072-05"-205"2020-07-31 15:41:19.310756-05"2020-07-31 15:41:19.310765-05"20610"27665"25135"2
101"2020-07-31 15:42:17.740584-05"-150"2020-07-31 15:42:17.740625-05"2020-07-31 15:42:17.740635-05"20610"37066"33731"2
102"2020-07-31 22:54:41.348698-05"-75"2020-07-31 22:54:41.348741-05"2020-07-31 22:54:41.348749-05"20610"34591"23488"2
103"2020-08-02 15:51:20.41981-05"300"2020-08-02 15:51:20.419844-05"2020-08-02 15:51:20.419853-05"20609"30530"28647"1
104"2020-08-03 13:23:42.443044-05"1000"2020-08-03 13:23:42.443082-05"2020-08-03 13:23:42.443094-05"20610"36215"33125"1
105"2020-08-07 09:54:57.00714-05"-350"2020-08-07 09:54:57.007194-05"2020-08-07 09:54:57.007208-05"20609"37068"33731"2
106"2020-08-07 09:55:26.025275-05"-350"2020-08-07 09:55:26.025328-05"2020-08-07 09:55:26.025382-05"20609"34329"31594"2
110"2020-08-07 09:58:59.904372-05"-275"2020-08-07 09:58:59.904424-05"2020-08-07 09:58:59.904434-05"20609"30939"23768"2
111"2020-08-07 09:59:22.054645-05"-75"2020-08-07 09:59:22.054683-05"2020-08-07 09:59:22.054691-05"20609"28186"26958"2
112"2020-08-07 09:59:42.035527-05"-75"2020-08-07 09:59:42.03561-05"2020-08-07 09:59:42.035625-05"20609"37070"23488"2
113"2020-08-07 10:00:04.843011-05"-325"2020-08-07 10:00:04.843052-05"2020-08-07 10:00:04.843066-05"20609"31283"29208"2
115"2020-08-07 10:01:15.146096-05"-355"2020-08-07 10:01:15.146147-05"2020-08-07 10:01:15.14616-05"20609"35470"32549"2
117"2020-08-07 10:02:09.952486-05"-325"2020-08-07 10:02:09.952542-05"2020-08-07 10:02:09.952556-05"20609"35469"32549"2
118"2020-08-07 10:03:12.59115-05"-150"2020-08-07 10:03:12.591186-05"2020-08-07 10:03:12.591194-05"20609"37067"33731"2
119"2020-08-07 10:03:39.14352-05"-525"2020-08-07 10:03:39.143572-05"2020-08-07 10:03:39.143584-05"20609"30806"28870"2
120"2020-08-07 10:04:02.021972-05"-150"2020-08-07 10:04:02.022022-05"2020-08-07 10:04:02.022035-05"20609"34590"23488"2
121"2020-08-07 10:04:22.722884-05"-150"2020-08-07 10:04:22.72294-05"2020-08-07 10:04:22.722952-05"20609"30530"28647"2
122"2020-08-07 10:04:41.061278-05"-150"2020-08-07 10:04:41.061315-05"2020-08-07 10:04:41.061323-05"20609"30235"20320"2
123"2020-08-07 10:04:55.59844-05"-225"2020-08-07 10:04:55.598478-05"2020-08-07 10:04:55.598486-05"20609"27566"26401"2
126"2020-08-07 10:06:11.214195-05"-225"2020-08-07 10:06:11.214231-05"2020-08-07 10:06:11.214239-05"20609"37069"28981"2
127"2020-08-08 09:08:34.943903-05"200"2020-08-08 09:08:34.943959-05"2020-08-08 09:08:34.943974-05"20610"30704"28790"1
128"2020-08-08 09:09:18.157584-05"-75"2020-08-08 09:09:18.15762-05"2020-08-08 09:09:18.157628-05"20610"30704"28790"2
129"2020-08-08 09:09:41.481019-05"-75"2020-08-08 09:09:41.481081-05"2020-08-08 09:09:41.481092-05"20610"37075"33735"2
130"2020-08-08 09:10:51.416905-05"-125"2020-08-08 09:10:51.41694-05"2020-08-08 09:10:51.416949-05"20610"27579"26414"2
131"2020-08-08 09:11:33.527153-05"-125"2020-08-08 09:11:33.52719-05"2020-08-08 09:11:33.5272-05"20610"37046"33722"2
132"2020-08-08 09:12:11.275603-05"-125"2020-08-08 09:12:11.275639-05"2020-08-08 09:12:11.275649-05"20610"27665"25135"2
133"2020-08-08 09:13:07.67469-05"-75"2020-08-08 09:13:07.674724-05"2020-08-08 09:13:07.674732-05"20610"24331"23768"2
134"2020-08-08 09:14:17.645521-05"-205"2020-08-08 09:14:17.645567-05"2020-08-08 09:14:17.645584-05"20610"36998"33699"2
135"2020-08-08 09:15:00.841101-05"-225"2020-08-08 09:15:00.841135-05"2020-08-08 09:15:00.841144-05"20610"36215"33125"2
136"2020-08-08 09:15:48.120045-05"-125"2020-08-08 09:15:48.120082-05"2020-08-08 09:15:48.120091-05"20610"30704"28790"2
137"2020-08-08 09:16:39.380148-05"-75"2020-08-08 09:16:39.380187-05"2020-08-08 09:16:39.380195-05"20610"34495"31730"2
139"2020-08-08 09:17:21.194092-05"-75"2020-08-08 09:17:21.194127-05"2020-08-08 09:17:21.194135-05"20610"37074"33734"2
142"2020-08-10 16:02:49.802456-05"-225"2020-08-10 16:02:49.802494-05"2020-08-10 16:02:49.802504-05"20609"28185"26958"3
143"2020-08-10 16:09:39.873626-05"-225"2020-08-10 16:09:39.873663-05"2020-08-10 16:09:39.873671-05"20609"28186"26958"3
144"2020-08-10 16:23:26.387042-05"-350"2020-08-10 16:23:26.38709-05"2020-08-10 16:23:26.387099-05"20609"37067"33731"3
145"2020-08-10 16:23:42.896878-05"-150"2020-08-10 16:23:42.896914-05"2020-08-10 16:23:42.896924-05"20609"37068"33731"3
146"2020-08-10 16:24:14.007772-05"-350"2020-08-10 16:24:14.007807-05"2020-08-10 16:24:14.007815-05"20610"37066"33731"3
147"2020-08-10 16:30:01.165024-05"-375"2020-08-10 16:30:01.165078-05"2020-08-10 16:30:01.165091-05"20610"27579"26414"3
148"2020-08-10 16:36:23.46766-05"-800"2020-08-10 16:36:23.467713-05"2020-08-10 16:36:23.467728-05"20610"23369"23029"3
149"2020-08-10 17:04:46.401197-05"-825"2020-08-10 17:04:46.401233-05"2020-08-10 17:04:46.401243-05"20609"27566"26401"3
150"2020-08-10 17:23:39.513892-05"-775"2020-08-10 17:23:39.513966-05"2020-08-10 17:23:39.51398-05"20609"37069"28981"3
151"2020-08-10 17:28:35.038771-05"-725"2020-08-10 17:28:35.038809-05"2020-08-10 17:28:35.038817-05"20610"37074"33734"3
152"2020-08-10 17:53:30.073288-05"-125"2020-08-10 17:53:30.073327-05"2020-08-10 17:53:30.073337-05"20610"34591"23488"3
153"2020-08-10 17:54:00.854383-05"-125"2020-08-10 17:54:00.854419-05"2020-08-10 17:54:00.854428-05"20609"37070"23488"3
154"2020-08-10 17:54:26.6554-05"-50"2020-08-10 17:54:26.655449-05"2020-08-10 17:54:26.655464-05"20609"34590"23488"3
155"2020-08-10 18:51:02.904829-05"-275"2020-08-10 18:51:02.904876-05"2020-08-10 18:51:02.904885-05"20609"30806"28870"3
156"2020-08-10 18:52:13.505494-05"-25"2020-08-10 18:52:13.505533-05"2020-08-10 18:52:13.505542-05"20609"30939"23768"3
157"2020-08-10 18:53:52.009057-05"-295"2020-08-10 18:53:52.009094-05"2020-08-10 18:53:52.009103-05"20610"26610"25623"3
158"2020-08-12 12:18:13.105474-05"-265"2020-08-12 12:18:13.105509-05"2020-08-12 12:18:13.105517-05"20610"36998"33699"3
159"2020-08-12 12:18:51.172603-05"-175"2020-08-12 12:18:51.17264-05"2020-08-12 12:18:51.17265-05"20610"34495"31730"3
160"2020-08-12 12:19:35.668962-05"-370"2020-08-12 12:19:35.669018-05"2020-08-12 12:19:35.669032-05"20610"27665"25135"3
140"2020-08-12 12:48:03.602177-05"5"2020-08-08 09:18:06.623082-05"2020-08-12 12:48:03.602189-05"20610"37075"33735"1
138"2020-08-12 13:01:19.057935-05"350"2020-08-08 09:16:49.068425-05"2020-08-12 13:01:19.057955-05"20610"34495"31730"1
161"2020-08-12 13:59:11.293231-05"-175"2020-08-12 13:59:11.293268-05"2020-08-12 13:59:11.293279-05"20610"37046"33722"3
162"2020-08-12 13:59:24.85973-05"-775"2020-08-12 13:59:24.859782-05"2020-08-12 13:59:24.859795-05"20610"36215"33125"3
163"2020-08-12 14:03:56.836436-05"-600"2020-08-12 14:03:56.836491-05"2020-08-12 14:03:56.8365-05"20610"34470"31707"3
164"2020-08-12 16:45:48.966752-05"-100"2020-08-12 16:45:48.966792-05"2020-08-12 16:45:48.966801-05"20610"34495"31730"3
165"2020-08-12 18:13:58.65067-05"-900"2020-08-12 18:13:58.650723-05"2020-08-12 18:13:58.650735-05"20609"30235"20320"3
166"2020-08-12 18:14:22.083494-05"-150"2020-08-12 18:14:22.083539-05"2020-08-12 18:14:22.083552-05"20609"30530"28647"3
167"2020-08-12 18:47:45.670497-05"-225"2020-08-12 18:47:45.670545-05"2020-08-12 18:47:45.670557-05"20610"24331"23768"3
171"2020-08-12 19:42:54.510458-05"-250"2020-08-12 19:42:54.51051-05"2020-08-12 19:42:54.510522-05"20610"37055"33728"3
172"2020-08-12 19:43:15.081688-05"-250"2020-08-12 19:43:15.081739-05"2020-08-12 19:43:15.081752-05"20610"37064"33728"3
108"2020-08-12 19:46:46.921854-05"-75"2020-08-07 09:56:48.979158-05"2020-08-12 19:46:46.921866-05"20609"28185"26958"2
170"2020-08-12 20:29:49.278485-05"-125"2020-08-12 19:37:02.471039-05"2020-08-12 20:29:49.278499-05"20609"34589"23488"2
169"2020-08-12 20:29:56.269873-05"-75"2020-08-12 19:36:38.001301-05"2020-08-12 20:29:56.269884-05"20609"34589"23488"3
173"2020-08-13 11:54:53.219126-05"-400"2020-08-13 11:54:53.219181-05"2020-08-13 11:54:53.219196-05"20609"36198"33110"3
174"2020-08-13 11:58:00.100077-05"-175"2020-08-13 11:58:00.100113-05"2020-08-13 11:58:00.100122-05"20609"31283"29208"3
175"2020-08-18 17:30:40.932822-05"-25"2020-08-18 17:30:40.932873-05"2020-08-18 17:30:40.932887-05"20609"35470"32549"3
176"2020-08-18 17:31:05.382602-05"-175"2020-08-18 17:31:05.382642-05"2020-08-18 17:31:05.382652-05"20609"35469"32549"3
177"2021-07-08 21:11:20.514091-05"1000"2021-07-08 21:11:20.514129-05"2021-07-08 21:11:20.514138-05"20756"29674"25452"1
178"2021-07-08 21:12:51.63553-05"1000"2021-07-08 21:12:51.635567-05"2021-07-08 21:12:51.635577-05"20756"37325"33986"1
179"2021-07-08 21:21:57.27723-05"500"2021-07-08 21:21:57.277269-05"2021-07-08 21:21:57.277279-05"20755"37445"34076"1
180"2021-07-08 21:22:18.925389-05"500"2021-07-08 21:22:18.925425-05"2021-07-08 21:22:18.925434-05"20755"37444"34076"1
181"2021-07-08 21:56:54.088356-05"500"2021-07-08 21:56:54.088436-05"2021-07-08 21:56:54.088451-05"20755"37409"34048"1
182"2021-07-08 22:03:58.49961-05"300"2021-07-08 22:03:58.499654-05"2021-07-08 22:03:58.499664-05"20755"30939"23768"1
183"2021-07-09 11:12:53.347955-05"700"2021-07-09 11:12:53.348008-05"2021-07-09 11:12:53.348017-05"20755"37712"34308"1
184"2021-07-10 11:36:27.941972-05"500"2021-07-10 11:36:27.942012-05"2021-07-10 11:36:27.942021-05"20756"37522"34046"1
185"2021-07-10 11:38:55.507015-05"500"2021-07-10 11:38:55.507053-05"2021-07-10 11:38:55.507062-05"20755"37520"34046"1
186"2021-07-10 11:45:25.597113-05"500"2021-07-10 11:45:25.597149-05"2021-07-10 11:45:25.597158-05"20755"33565"30944"1
187"2021-07-10 11:48:46.363995-05"500"2021-07-10 11:48:46.364048-05"2021-07-10 11:48:46.364062-05"20755"37390"34025"1
188"2021-07-10 11:49:02.00063-05"500"2021-07-10 11:49:02.000668-05"2021-07-10 11:49:02.000678-05"20755"37392"34025"1
189"2021-07-10 11:50:42.440746-05"1000"2021-07-10 11:50:42.440783-05"2021-07-10 11:50:42.440792-05"20755"37651"34250"1
190"2021-07-10 12:07:51.902588-05"250"2021-07-10 12:07:51.902624-05"2021-07-10 12:07:51.902633-05"20756"34517"31751"1
191"2021-07-10 12:23:07.478673-05"500"2021-07-10 12:23:07.478712-05"2021-07-10 12:23:07.478721-05"20756"26610"25623"1
192"2021-07-10 12:24:36.211432-05"1000"2021-07-10 12:24:36.21147-05"2021-07-10 12:24:36.21148-05"20756"37224"25804"1
193"2021-07-10 12:26:46.212016-05"1000"2021-07-10 12:26:46.212069-05"2021-07-10 12:26:46.212083-05"20756"26829"25804"1
194"2021-07-10 12:34:35.415805-05"346"2021-07-10 12:34:35.415861-05"2021-07-10 12:34:35.415874-05"20756"37209"33878"1
195"2021-07-10 12:36:51.61281-05"300"2021-07-10 12:36:51.612845-05"2021-07-10 12:36:51.612855-05"20755"37448"34075"1
196"2021-07-10 12:38:05.953871-05"400"2021-07-10 12:38:05.953926-05"2021-07-10 12:38:05.95394-05"20756"37699"34075"1
197"2021-07-10 12:42:47.478335-05"400"2021-07-10 12:42:47.478376-05"2021-07-10 12:42:47.478387-05"20755"37377"34029"1
198"2021-07-10 20:48:37.956419-05"500"2021-07-10 20:48:37.956454-05"2021-07-10 20:48:37.956464-05"20756"32923"30487"1
199"2021-07-10 20:48:56.156654-05"500"2021-07-10 20:48:56.156697-05"2021-07-10 20:48:56.156707-05"20756"33044"30573"1
200"2021-07-10 20:49:13.576645-05"500"2021-07-10 20:49:13.576687-05"2021-07-10 20:49:13.576698-05"20756"33042"30573"1
201"2021-07-10 20:52:03.610793-05"500"2021-07-10 20:52:03.610829-05"2021-07-10 20:52:03.610839-05"20755"37545"34150"1
202"2021-07-10 20:56:39.254365-05"200"2021-07-10 20:56:39.254404-05"2021-07-10 20:56:39.254413-05"20756"27566"26401"1
203"2021-07-10 21:04:08.18548-05"3500"2021-07-10 21:04:08.185517-05"2021-07-10 21:04:08.185526-05"20756"37534"34141"1
204"2021-07-10 21:05:43.35839-05"500"2021-07-10 21:05:43.358429-05"2021-07-10 21:05:43.358439-05"20756"37498"34116"1
205"2021-07-10 21:06:54.61696-05"500"2021-07-10 21:06:54.616995-05"2021-07-10 21:06:54.617003-05"20755"37423"34053"1
206"2021-07-10 21:44:35.76985-05"600"2021-07-10 21:44:35.769886-05"2021-07-10 21:44:35.769894-05"20755"37458"34082"1
207"2021-07-12 11:41:27.375587-05"500"2021-07-12 11:41:27.375624-05"2021-07-12 11:41:27.375632-05"20755"37384"34033"1
208"2021-07-12 11:43:45.822328-05"400"2021-07-12 11:43:45.82239-05"2021-07-12 11:43:45.822404-05"20755"37397"34040"1
